"","ds_id","auth_id","timestamp"
"152","doi:10.7281/T1/UBSZF1","74",2022-07-25 14:15:09
"153","doi:10.7281/T1/WYN7FI","75",2024-07-30 14:30:55
"154","doi:10.7281/T1/MYJBMQ","76",2020-08-24 19:22:07
"155","doi:10.7281/T1/5UEIRG","77",2022-05-24 12:26:25
"156","doi:10.7281/T1/V5DLIW","78",2023-05-23 20:35:43
"157","doi:10.7281/T1/UIJLZO","79",2024-02-27 14:26:57
"158","doi:10.7281/T1/UJO8EZ","80",2023-12-12 14:36:47
"159","doi:10.7281/T1/MYJBMQ","81",2020-08-24 19:22:07
"160","doi:10.7281/T1RF5RZ7","82",2016-08-02
"161","doi:10.7281/T1/CZZDLJ","83",2017-06-22 13:24:47
"162","doi:10.7281/T1/KOSYGQ","84",2017-06-29 12:50:41
"163","doi:10.7281/T1/FN9EH6","85",2017-04-03 18:11:57
"164","doi:10.7281/T1/ZHG9BB","86",2017-08-28 17:18:07
"165","doi:10.7281/T1/4AJ8Y1","87",2018-04-20 19:17:14
"166","doi:10.7281/T1/XOL4BR","88",2024-05-31 15:26:52
"167","doi:10.7281/T1/VDZAZY","0000-0002-9013-1586",2020-08-28 18:59:41
"168","doi:10.7281/T1/VCPZIK","89",2021-08-05 21:44:39
"169","doi:10.7281/T1/C8BCOW","90",2024-02-27 14:23:24
"170","doi:10.7281/T1/DP2U9M","0000-0001-8810-5699",2019-07-10 18:25:43
"171","doi:10.7281/T1/BDLMJG","91",2018-07-17 15:09:59
"172","doi:10.7281/T1/NT8FQN","0000-0002-7009-4984",2022-06-23 19:23:06
"173","doi:10.7281/T1/D3EV75","0000-0002-7009-4984",2022-05-24 12:27:31
"174","doi:10.7281/T1/5UEIRG","0000-0002-7009-4984",2022-05-24 12:26:25
"175","doi:10.7281/T1/8VU7A2","0000-0002-7009-4984",2023-05-09 12:24:18
"176","doi:10.7281/T1/UDTJPD","92",2020-02-20 18:10:12
"177","doi:10.7281/T1/7ELIJW","93",2024-04-26 19:51:18
"178","doi:10.7281/T1/C4RVLS","0000-0002-4335-0903",2024-01-09 16:15:38
"179","doi:10.7281/T1/I3ILXO","0000-0001-5135-4747",2020-04-17 15:29:44
"180","doi:10.7281/T1PN93HH","0000-0003-1058-7370",2020-10-30 18:26:04
"181","doi:10.7281/T1JW8BSS","0000-0003-1058-7370",2020-10-30 18:26:13
"182","doi:10.7281/T1/SP6KO3","0000-0001-6801-8010",2017-11-22 19:46:20
"183","doi:10.7281/T1/EAFMCT","94",2018-12-07 18:10:05
"184","doi:10.7281/T1/ONZHUS","95",2019-07-08 18:17:31
"185","doi:10.7281/T1/8OFLMF","0000-0002-0468-6420",2022-06-17 19:59:53
"186","doi:10.7281/T1/NT8FQN","0000-0002-0468-6420",2022-06-23 19:23:06
"187","doi:10.7281/T1/0JWMF0","0000-0002-0468-6420",2022-06-23 19:23:43
"188","doi:10.7281/T1/YUHUYN","0000-0002-0468-6420",2023-05-23 20:37:12
"189","doi:10.7281/T1/8VU7A2","0000-0002-0468-6420",2023-05-09 12:24:18
"190","doi:10.7281/T1/IHPXXR","0000-0001-9707-8004",2023-05-15 17:37:25
"191","doi:10.7281/T1/RE5GOK","0000-0001-9707-8004",2024-08-29 15:44:03
"192","doi:10.7281/T1/KTOG9W","0000-0002-9278-0854",2024-05-02 20:09:40
"193","doi:10.7281/T1/KOSYGQ","96",2017-06-29 12:50:41
"194","doi:10.7281/T1/ZHG9BB","0000-0002-5194-3055",2017-08-28 17:18:07
"195","doi:10.7281/T1/4AJ8Y1","0000-0002-5194-3055",2018-04-20 19:17:14
"196","doi:10.7281/T1/F1GCSB","97",2023-09-13 18:07:50
"197","doi:10.7281/T1/V4BATB","0000-0002-4859-1298",2024-07-31 13:11:09
"198","doi:10.7281/T1/SWU4P8","98",2023-08-08 17:47:21
"199","doi:10.7281/T1/VNFY91","0000-0001-7111-2489",2023-09-15 19:41:39
"200","doi:10.7281/T1/IVVFCM","0000-0003-1431-9832",2023-04-21 16:24:52
"201","doi:10.7281/T1/BMATHH","0000-0003-1431-9832",2021-09-28 11:30:17
"202","doi:10.7281/T1/NU0VS7","0000-0001-9121-532X",2024-01-02 13:15:55
"203","doi:10.7281/T1/B660D2","0000-0003-1469-8879",2022-09-12 20:36:56
"204","doi:10.7281/T1/OOMZS7","0000-0003-1469-8879",2022-06-06 13:59:37
"205","doi:10.7281/T15Q4T12","0000-0003-2502-3770",2015-08-25
"206","doi:10.7281/T1D798BQ","0000-0003-2502-3770",2016-06-01
"207","doi:10.7281/T1/4F90KQ","0000-0003-2502-3770",2020-04-09 12:26:47
"208","doi:10.7281/T1/87PH8T","0000-0003-2502-3770",2021-06-30 20:25:47
"209","doi:10.7281/T1/FWDYPW","0000-0003-2502-3770",2022-10-06 14:49:15
"210","doi:10.7281/T1/C6MCOX","0000-0003-2502-3770",2019-04-29 15:12:30
"211","doi:10.7281/T1/BCARLC","0000-0003-2502-3770",2020-10-12 21:05:06
"212","doi:10.7281/T1/UDTJPD","0000-0003-2502-3770",2020-02-20 18:10:12
"213","doi:10.7281/T1/AYTUVI","0000-0003-2502-3770",2018-08-03 18:25:59
"214","doi:10.7281/T1/XTSKOW","0000-0003-2502-3770",2017-09-19 13:08:30
"215","doi:10.7281/T1/DX9DL8","0000-0003-2502-3770",2018-11-12 18:48:14
